430
1 8
2 30
3 50
4 72
5 93
6 172
7 239
8 274
9 304
10 0
11 13
12 42
13 55
14 84
15 97
16 124
17 139
18 22
19 34
20 64
21 76
22 116
23 148
24 164
25 92
26 110
27 176
28 198
29 208
30 238
31 304
32 315
33 105
34 132
35 156
36 172
37 186
38 200
39 251
40 414
41 159
42 186
43 196
44 214
45 224
46 251
47 293
48 225
49 238
50 261
51 274
52 326
53 345
54 364
55 394
56 417
57 287
58 298
59 309
60 320
61 339
62 358
63 377
64 388
65 407
----------
%%%mzn-stat initTime=0.007534
%%%mzn-stat solveTime=180.006
%%%mzn-stat solutions=4
%%%mzn-stat variables=1527
%%%mzn-stat propagators=1016
%%%mzn-stat propagations=138138069
%%%mzn-stat nodes=2848063
%%%mzn-stat failures=1423997
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=72
%%%mzn-stat-end
