387
1 85
2 116
3 149
4 161
5 195
6 207
7 290
8 302
9 364
10 0
11 14
12 139
13 177
14 210
15 260
16 305
17 354
18 10
19 28
20 41
21 55
22 67
23 80
24 123
25 335
26 349
27 92
28 104
29 149
30 174
31 195
32 232
33 246
34 350
35 371
36 131
37 166
38 187
39 237
40 282
41 327
42 377
43 29
44 43
45 68
46 220
47 270
48 315
49 337
50 55
51 82
52 96
53 110
54 124
55 290
56 366
57 42
58 156
59 202
60 245
61 257
62 336
63 364
----------
%%%mzn-stat initTime=0.007516
%%%mzn-stat solveTime=180.007
%%%mzn-stat solutions=13
%%%mzn-stat variables=1587
%%%mzn-stat propagators=1026
%%%mzn-stat propagations=215029517
%%%mzn-stat nodes=1957863
%%%mzn-stat failures=978890
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=74
%%%mzn-stat-end
