739
1 64
2 99
3 134
4 210
5 241
6 268
7 323
8 355
9 479
10 7
11 23
12 87
13 103
14 148
15 467
16 492
17 649
18 707
19 123
20 137
21 198
22 254
23 551
24 582
25 661
26 682
27 52
28 78
29 163
30 189
31 226
32 300
33 630
34 695
35 0
36 35
37 61
38 115
39 172
40 235
41 283
42 338
43 209
44 356
45 411
46 429
47 504
48 562
49 613
50 719
51 265
52 320
53 393
54 449
55 506
56 564
57 595
58 721
59 244
60 309
61 365
62 382
63 438
64 524
65 541
66 639
67 672
68 19
69 338
70 350
71 375
72 395
73 411
74 479
75 491
76 534
77 38
78 175
79 283
80 424
81 451
82 593
83 613
84 704
----------
%%%mzn-stat initTime=0.012995
%%%mzn-stat solveTime=180.026
%%%mzn-stat solutions=6
%%%mzn-stat variables=2565
%%%mzn-stat propagators=1616
%%%mzn-stat propagations=160339992
%%%mzn-stat nodes=1609545
%%%mzn-stat failures=804725
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=105
%%%mzn-stat-end
