648
1 13
2 146
3 331
4 368
5 435
6 538
7 552
8 587
9 113
10 192
11 257
12 274
13 389
14 495
15 580
16 600
17 28
18 70
19 99
20 170
21 227
22 317
23 403
24 481
25 0
26 15
27 42
28 244
29 304
30 376
31 453
32 525
33 605
34 57
35 84
36 113
37 196
38 241
39 391
40 499
41 634
42 124
43 184
44 215
45 285
46 351
47 427
48 506
49 560
50 626
51 139
52 161
53 300
54 345
55 421
56 449
57 521
58 575
59 620
60 191
61 241
62 273
63 358
64 434
65 495
66 580
67 633
68 55
69 84
70 143
71 203
72 257
73 360
74 466
75 538
76 598
77 115
78 274
79 331
80 389
81 466
82 550
83 594
84 634
----------
%%%mzn-stat initTime=0.012255
%%%mzn-stat solveTime=180.023
%%%mzn-stat solutions=9
%%%mzn-stat variables=2539
%%%mzn-stat propagators=1599
%%%mzn-stat propagations=180384093
%%%mzn-stat nodes=1440798
%%%mzn-stat failures=720351
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=102
%%%mzn-stat-end
