1044
1 473
2 543
3 559
4 653
5 711
6 768
7 855
8 972
9 1028
10 27
11 438
12 469
13 503
14 575
15 617
16 684
17 839
18 937
19 35
20 51
21 625
22 727
23 784
24 847
25 945
26 1009
27 0
28 15
29 62
30 77
31 92
32 871
33 956
34 1001
35 6
36 43
37 68
38 114
39 132
40 145
41 159
42 177
43 98
44 116
45 143
46 161
47 179
48 197
49 215
50 233
51 251
52 269
53 287
54 305
55 323
56 341
57 359
58 893
59 965
60 330
61 377
62 394
63 442
64 489
65 825
66 923
67 1026
68 410
69 530
70 589
71 640
72 698
73 755
74 812
75 910
76 988
77 423
78 454
79 513
80 602
81 669
82 738
83 795
84 881
85 1020
----------
%%%mzn-stat initTime=0.013301
%%%mzn-stat solveTime=180.032
%%%mzn-stat solutions=8
%%%mzn-stat variables=2759
%%%mzn-stat propagators=1713
%%%mzn-stat propagations=129293603
%%%mzn-stat nodes=1173174
%%%mzn-stat failures=586538
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=104
%%%mzn-stat-end
