529
1 49
2 81
3 253
4 321
5 379
6 473
7 501
8 0
9 8
10 16
11 24
12 32
13 40
14 48
15 56
16 64
17 72
18 80
19 88
20 96
21 104
22 112
23 122
24 130
25 144
26 157
27 165
28 193
29 202
30 210
31 220
32 256
33 264
34 281
35 292
36 300
37 308
38 24
39 47
40 70
41 93
42 116
43 139
44 162
45 185
46 218
47 291
48 314
49 337
50 265
51 351
52 407
53 441
54 360
55 384
56 441
57 467
58 425
59 437
60 482
61 513
62 0
63 12
64 25
65 180
66 309
67 362
68 377
69 389
70 401
71 413
72 214
73 293
74 433
75 470
76 120
77 178
78 339
79 151
80 172
81 208
82 229
83 250
84 271
85 410
86 444
87 476
88 507
----------
%%%mzn-stat initTime=0.014586
%%%mzn-stat solveTime=180.041
%%%mzn-stat solutions=11
%%%mzn-stat variables=3100
%%%mzn-stat propagators=2209
%%%mzn-stat propagations=163880223
%%%mzn-stat nodes=1039313
%%%mzn-stat failures=519604
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=98
%%%mzn-stat-end
