154
1 18
2 27
3 36
4 53
5 107
6 118
7 132
8 146
9 50
10 66
11 75
12 91
13 114
14 125
15 139
16 0
17 7
18 14
19 25
20 34
21 43
22 0
23 9
24 77
25 93
26 102
27 127
28 141
29 0
30 8
31 16
32 25
33 34
34 43
35 80
36 98
37 60
38 68
39 85
40 94
41 106
42 116
43 128
44 142
----------
%%%mzn-stat initTime=0.006238
%%%mzn-stat solveTime=180.004
%%%mzn-stat solutions=10
%%%mzn-stat variables=714
%%%mzn-stat propagators=505
%%%mzn-stat propagations=294749558
%%%mzn-stat nodes=2257661
%%%mzn-stat failures=1128788
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=48
%%%mzn-stat-end
