155
1 58
2 73
3 98
4 119
5 127
6 137
7 0
8 9
9 18
10 28
11 37
12 47
13 76
14 90
15 0
16 37
17 62
18 84
19 108
20 123
21 133
22 7
23 16
24 77
25 87
26 130
27 141
28 0
29 12
30 29
31 82
32 91
33 108
34 142
35 21
36 40
37 50
38 65
39 101
40 111
41 145
----------
%%%mzn-stat initTime=0.003781
%%%mzn-stat solveTime=180.001
%%%mzn-stat solutions=8
%%%mzn-stat variables=697
%%%mzn-stat propagators=480
%%%mzn-stat propagations=257660011
%%%mzn-stat nodes=4728851
%%%mzn-stat failures=2364401
%%%mzn-stat restarts=0
%%%mzn-stat peakDepth=52
%%%mzn-stat-end
